,Variable,Coefficient,Std. Error,z-Statistic,Prob  
0,C,0.751393,0.33421100000000004,2.2482580000000003,0.0246
1,AGE2,0.27829,0.122325,2.275009,0.0229
2,AGE3,0.34235,0.123803,2.7652799999999997,0.0057
3,AGE4,0.34972,0.12250699999999999,2.854696,0.0043
4,AGE5,0.012026,0.138215,0.087008,0.9307
5,AGE6,0.012236,0.1355,0.0903,0.9279999999999999
6,AB,-2.6663490000000003,0.108195,-24.6439,0.0
7,C1,-2.220017,0.081986,-27.078120000000002,0.0
8,C2,-0.8443219999999999,0.06493099999999999,-13.00333,0.0
9,CHILDREN,0.280134,0.070573,3.969429,0.0001
10,COUNCIL,-0.269315,0.075744,-3.555596,0.0004
11,EMP_FT,0.391018,0.070733,5.52808,0.0
12,EMP_HWIFE,0.20781100000000002,0.078876,2.63465,0.0084
13,NO_DISH,-0.053335,0.019913,-2.678454,0.0074
14,N_VIDEOS,0.283812,0.041379,6.858922,0.0
15,PRICE,-0.08244,0.011197,-7.3628350000000005,0.0
16,PRICE_MC,-0.018524000000000002,0.023297,-0.795142,0.4265
17,PROG_QUAL,0.053987,0.042629,1.26642,0.2054
18,RACE,0.034157,0.026141,1.30664,0.1913
19,RENT,-0.238377,0.094816,-2.514113,0.0119
20,SAT_HAVE,0.573973,0.077957,7.3627139999999995,0.0
21,SEX,0.132452,0.063168,2.0968240000000002,0.036000000000000004
22,TV_SATIS,-0.12085599999999999,0.025166,-4.80238,0.0
23,VALUE,0.131367,0.035288,3.7226839999999997,0.0002
24,VCR_HAVE,0.24136100000000002,0.071719,3.365361,0.0008
25,BBC1,0.113396,0.056639999999999996,2.002048,0.0453
26,BBC2,0.20569099999999998,0.094199,2.183584,0.028999999999999998
27,ITV,-0.22738200000000003,0.05823,-3.904886,0.0001
28,CH4,-0.178499,0.085645,-2.084164,0.0371
