,Variable,Coefficient,Std. Error,z-Statistic,Prob  
0,C,1.239731,0.307019,4.037966,0.0001
1,AGE2,0.309082,0.121348,2.547079,0.0109
2,AGE3,0.342075,0.123051,2.7799560000000003,0.0054
3,AGE4,0.312288,0.12128199999999999,2.5749020000000002,0.01
4,AGE5,-0.126888,0.135326,-0.9376450000000001,0.3484
5,AGE6,-0.20949299999999998,0.128741,-1.6272520000000001,0.1037
6,AB,-2.6161630000000002,0.106781,-24.500329999999998,0.0
7,C1,-2.1734400000000003,0.080759,-26.91283,0.0
8,C2,-0.817914,0.064197,-12.74061,0.0
9,CHILDREN,0.203652,0.068334,2.980225,0.0029
10,COUNCIL,-0.286771,0.075173,-3.8147889999999998,0.0001
11,NO_DISH,-0.058191,0.019638,-2.963253,0.003
12,N_VIDEOS,0.292559,0.041325,7.079406,0.0
13,PRICE,-0.08164600000000001,0.011090000000000001,-7.362191999999999,0.0
14,PRICE_MC,-0.017506,0.022979,-0.7618010000000001,0.4462
15,RENT,-0.273762,0.094747,-2.889401,0.0039
16,SAT_HAVE,0.5778810000000001,0.077451,7.461225,0.0
17,TV_SATIS,-0.11598399999999999,0.024924,-4.653544,0.0
18,VALUE,0.162064,0.032141,5.042321,0.0
19,VCR_HAVE,0.214358,0.070759,3.029391,0.0025
20,BBC1,0.10954000000000001,0.056488,1.9391720000000001,0.0525
21,BBC2,0.16964,0.093597,1.8124509999999998,0.0699
22,ITV,-0.216552,0.057316,-3.778204,0.0002
23,CH4,-0.171431,0.084712,-2.023685,0.043
